event_name,触发时机,必填字段,关键扩展字段,实时聚合/后端判断,用途
coin_home_view,进入淘金币首页,user_id_hash|session_id|event_time|trace_id|experiment_id|ab_group,page_load_time_ms|device_os|network_type,创建或恢复游戏会话,首页性能与实验漏斗
game_start,开始跳一跳,user_id_hash|session_id|event_time|trace_id|experiment_id|ab_group,game_variant|is_new_user|entry_source,写入当前模式和会话开始时间,游戏漏斗
rule_view,查看规则,user_id_hash|session_id|event_time|trace_id|experiment_id|ab_group,game_variant|rule_version,写入rules_viewed_before_fail=true,识别规则未建立用户
level_start,进入关卡,user_id_hash|session_id|event_time|trace_id|experiment_id|ab_group,game_variant|level_id|attempt_number,写入current_level_id和attempt_number,关卡漏斗
level_fail,关卡失败,user_id_hash|session_id|event_time|trace_id|experiment_id|ab_group,game_variant|level_id|attempt_number|fail_reason,fail_count_same_level+=1；若standard+level2且首次入组则分桶并调用决策,核心触发事件
level_complete,关卡通过,user_id_hash|session_id|event_time|trace_id|experiment_id|ab_group,game_variant|level_id|attempt_number|time_spent_seconds,写入level_complete并停止同关触发,主指标
game_complete,完成游戏,user_id_hash|session_id|event_time|trace_id|experiment_id|ab_group,game_variant|total_duration_ms,回流game_completion,次主指标
game_exit,退出游戏,user_id_hash|session_id|event_time|trace_id|experiment_id|ab_group,game_variant|exit_point|exit_reason,若exit_point=2则回流即时退出,护栏/漏斗
agent_intervention_shown,前端成功展示干预,user_id_hash|session_id|event_time|trace_id|decision_id|experiment_id|ab_group,intervention_type|scene_type|display_position,更新intervention_count_session,曝光与频控
agent_intervention_feedback,用户接受/关闭/拒绝,user_id_hash|session_id|event_time|trace_id|decision_id|experiment_id|ab_group,intervention_type|feedback_type,写入Memory和效果归因,动作接受率
agent_action_result,业务动作完成或失败,user_id_hash|session_id|event_time|trace_id|decision_id|experiment_id|ab_group,action_type|execution_status|error_code|latency_ms,写入执行事实表和异常告警,工具稳定性
add_to_cart,商品加购,user_id_hash|session_id|event_time|trace_id|experiment_id|ab_group,item_id|source_page,回流7日加购结果,后续转化
order_placed,订单创建,user_id_hash|session_id|event_time|trace_id|experiment_id|ab_group,order_id_hash|order_amount_bucket|coupon_used,回流7日下单结果,后续转化
