intervention_type,outcome,treated_n,matched_control_n,treated_pre,treated_post,matched_control_pre,matched_control_post,treated_delta,matched_control_delta,psm_did_effect,unit,std_error,p_value,ci_low,ci_high,significant_0_05
android_perf_optimize,order_rate_7d,191,191,0.08225445026178012,0.2130785340314136,0.08599005235602093,0.09061413612565444,0.1308240837696335,0.00462408376963351,0.1262,pp,0.002288056487906774,0.0,0.12171540928370272,0.1306845907162973,True
android_perf_optimize,game_completion_rate,191,191,0.4626439790575916,0.4626439790575916,0.4826225130890052,0.48704083769633505,0.0,0.004418324607329846,-0.004418324607329846,pp,0.0007636767284665599,7.225591653086463e-09,-0.0059151309951243035,-0.0029215182195353883,True
android_perf_optimize,active_days_7d,191,191,3.4607329842931938,4.9214659685863875,3.643979057591623,3.643979057591623,1.4607329842931938,0.0,1.4607329842931938,days,0.03616177841730871,0.0,1.3898558985952687,1.5316100699911188,True
cashback_incentive,order_rate_7d,33,33,0.07433030303030304,0.2551787878787879,0.05596969696969697,0.07268181818181818,0.18084848484848487,0.016712121212121216,0.16413636363636366,pp,0.008850925391170885,9.026518557545643e-77,0.14678854986966872,0.1814841774030586,True
cashback_incentive,game_completion_rate,33,33,0.5036,0.5036,0.5778575757575757,0.5734545454545454,0.0,-0.004403030303030344,0.004403030303030344,pp,0.00069289528769227,2.090522629995649e-10,0.0030449555391534955,0.005761105066907193,True
cashback_incentive,active_days_7d,33,33,3.1818181818181817,3.1818181818181817,4.606060606060606,4.606060606060606,0.0,0.0,0.0,days,0.0,,0.0,0.0,False
early_bird_coupon,order_rate_7d,28,28,0.07598928571428573,0.22868928571428573,0.030160714285714287,0.04800714285714285,0.1527,0.01784642857142857,0.13485357142857143,pp,0.006903554184197416,5.651363935885541e-85,0.1213226052275445,0.14838453762959836,True
early_bird_coupon,game_completion_rate,28,28,0.5545857142857143,0.5545857142857143,0.608575,0.6157607142857143,0.0,0.007185714285714301,-0.007185714285714301,pp,0.0002744746923942664,4.5044949409255646e-151,-0.007723684682807063,-0.006647743888621539,True
early_bird_coupon,active_days_7d,28,28,4.071428571428571,4.071428571428571,4.285714285714286,4.285714285714286,0.0,0.0,0.0,days,0.0,,0.0,0.0,False
entry_redesign,order_rate_7d,228,228,0.08329912280701753,0.13285263157894736,0.07798815789473681,0.08224649122807016,0.04955350877192982,0.004258333333333333,0.045295175438596486,pp,0.0014896764654988735,4.5692894849343604e-203,0.04237540956621869,0.04821494131097428,True
entry_redesign,game_completion_rate,228,228,0.48013947368421056,0.48013947368421056,0.504996052631579,0.5050434210526316,0.0,4.73684210526344e-05,-4.73684210526344e-05,pp,0.0007724336157885354,0.9511014847757078,-0.0015613383079981639,0.001466601465892895,False
entry_redesign,active_days_7d,228,228,3.530701754385965,3.530701754385965,3.557017543859649,3.557017543859649,0.0,0.0,0.0,days,0.0,,0.0,0.0,False
game_difficulty_reduced,order_rate_7d,521,521,0.07971880998080615,0.21071458733205373,0.08447581573896353,0.08938138195777352,0.1309957773512476,0.004905566218809979,0.12609021113243762,pp,0.001996813740329601,0.0,0.1221764562013916,0.13000396606348363,True
game_difficulty_reduced,game_completion_rate,521,521,0.32911957773512474,0.5593447216890596,0.3181656429942418,0.3179395393474088,0.23022514395393476,-0.00022610364683301235,0.23045124760076777,pp,0.0035456646906255273,0.0,0.22350174480714174,0.2374007503943938,True
game_difficulty_reduced,active_days_7d,521,521,3.3608445297504796,3.3608445297504796,3.404990403071017,3.404990403071017,0.0,0.0,0.0,days,0.0,,0.0,0.0,False
push_timing_optimize,order_rate_7d,115,115,0.0757095652173913,0.14232695652173913,0.08895913043478262,0.09426782608695651,0.06661739130434784,0.005308695652173913,0.06130869565217392,pp,0.006677318853596585,4.24600092701377e-20,0.04822115069912462,0.07439624060522324,True
push_timing_optimize,game_completion_rate,115,115,0.5360460869565218,0.5360460869565218,0.547688695652174,0.5451721739130434,0.0,-0.0025165217391304295,0.0025165217391304295,pp,0.0009650197157412428,0.009114181497713297,0.0006250830962775938,0.004407960381983265,True
push_timing_optimize,active_days_7d,115,115,3.2,3.4695652173913043,3.5304347826086957,3.5304347826086957,0.26956521739130435,0.0,0.26956521739130435,days,0.0583549452789587,3.8483912634177215e-06,0.15518952464454527,0.3839409101380634,True
tutorial_popup,order_rate_7d,438,438,0.08149223744292236,0.17452100456621006,0.08278538812785388,0.08867876712328768,0.09302876712328767,0.0058933789954337895,0.08713538812785387,pp,0.0017193320428436942,0.0,0.08376549732388024,0.09050527893182751,True
tutorial_popup,game_completion_rate,438,438,0.30765730593607304,0.4703310502283105,0.2985901826484018,0.2982853881278539,0.16267374429223747,-0.0003047945205479445,0.1629785388127854,pp,0.0026783329193147353,0.0,0.1577290062909285,0.1682280713346423,True
tutorial_popup,active_days_7d,438,438,3.6027397260273974,3.6027397260273974,3.6301369863013697,3.6301369863013697,0.0,0.0,0.0,days,0.0,,0.0,0.0,False
vip_exclusive_guide,order_rate_7d,31,31,0.07739032258064517,0.2936548387096774,0.03910322580645162,0.06372580645161291,0.21626451612903227,0.024622580645161287,0.19164193548387098,pp,0.008385781948220922,1.3582098902978628e-115,0.17520580286535797,0.208078068102384,True
vip_exclusive_guide,game_completion_rate,31,31,0.5189774193548388,0.5189774193548388,0.6103258064516127,0.6070129032258064,0.0,-0.0033129032258065057,0.0033129032258065057,pp,0.0008252955408793617,5.964718317372261e-05,0.0016953239656829569,0.004930482485930055,True
vip_exclusive_guide,active_days_7d,31,31,3.096774193548387,5.225806451612903,5.064516129032258,5.064516129032258,2.129032258064516,0.0,2.129032258064516,days,0.1371125860584523,2.2559525852365754e-54,1.8602915893899494,2.3977729267390826,True
